French Name,English Translation,Dutch Translation,Description,Dutch Description,Price Range,Pork,Other Meat,Fish/Seafood,Dairy,Vegetarian,Google Search
Escargots,Snails,Slakken,Snails cooked in garlic and parsley butter,"Slakken gekookt in knoflook en peterselie boter",€8-12,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=french%20escargots&tbm=isch
Foie Gras,Duck Liver Pâté,Eendenlever Pâté,Rich duck liver pâté served with toast,"Rijke eendenlever pâté geserveerd met toast",€15-25,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.google.com/search?q=foie%20gras%20french&tbm=isch
Soupe à l'Oignon,French Onion Soup,Franse Uiensoep,Caramelized onion soup topped with cheese and bread,"Karamelized uiensoep met kaas en brood",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=french%20onion%20soup&tbm=isch
Pâté de Campagne,Country Pâté,Landpâté,Rustic pork and liver pâté,"Rustieke pâté van varkensvlees en lever",€7-10,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=pate%20de%20campagne&tbm=isch
Bisque de Homard,Lobster Bisque,Kreeftenbisque,Creamy lobster soup,"Romige kreeftensoep",€12-18,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=bisque%20de%20homard&tbm=isch
Velouté de Champignons,Mushroom Soup,Champignonsoep,Creamy mushroom soup,"Romige champignonsoep",€5-8,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=veloute%20champignons&tbm=isch
Salade Niçoise,Niçoise Salad,Niçoise Salade,Salad with tuna olives eggs and vegetables,"Salade met tonijn olijven eieren en groenten",€8-12,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=salade%20nicoise&tbm=isch
Salade de Chèvre Chaud,Warm Goat Cheese Salad,Warme Geitenkassalade,Mixed greens with warm goat cheese,"Gemengde sla met warme geitenkaas",€7-10,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=salade%20chevre%20chaud&tbm=isch
Croque Monsieur,Ham and Cheese Sandwich,Ham en Kaas Sandwich,Grilled ham and cheese sandwich with béchamel,"Gegrilde ham en kaas sandwich met béchamel",€6-9,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.google.com/search?q=croque%20monsieur&tbm=isch
Croque Madame,Ham Cheese and Egg Sandwich,Ham Kaas en Ei Sandwich,Croque Monsieur topped with a fried egg,"Croque Monsieur met gebakken ei",€7-10,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.google.com/search?q=croque%20madame&tbm=isch
Quiche Lorraine,Bacon and Cheese Quiche,Spek en Kaas Quiche,Savory tart with bacon eggs and cheese,"Hartige taart met spek eieren en kaas",€6-9,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=quiche%20lorraine&tbm=isch
Bouillabaisse,Fish Stew,Vissoep,Traditional Provençal fish stew,"Traditionele Provençaalse vissoep",€18-25,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=bouillabaisse&tbm=isch
Coq au Vin,Chicken in Wine,Kip in Wijn,Chicken braised in red wine,"Kip gestooft in rode wijn",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=coq%20au%20vin&tbm=isch
